# Points on a circle — nearly all vertices on the hull
# coords in [0,2000] x [0,2000]
1900,1000
1897,1078
1886,1156
1869,1233
1846,1308
1816,1380
1779,1450
1737,1516
1689,1579
1636,1636
1579,1689
1516,1737
1450,1779
1380,1816
1308,1846
1233,1869
1156,1886
1078,1897
1000,1900
922,1897
844,1886
767,1869
692,1846
620,1816
550,1779
484,1737
421,1689
364,1636
311,1579
263,1516
221,1450
184,1380
154,1308
131,1233
114,1156
103,1078
100,1000
103,922
114,844
131,767
154,692
184,620
221,550
263,484
311,421
364,364
421,311
484,263
550,221
620,184
692,154
767,131
844,114
922,103
1000,100
1078,103
1156,114
1233,131
1308,154
1380,184
1450,221
1516,263
1579,311
1636,364
1689,421
1737,484
1779,550
1816,620
1846,692
1869,767
1886,844
1897,922
