# Dense interior noise; hull should be a few extremes
# coords in [0,2000] x [0,2000]
213,229
310,282
407,335
504,388
601,441
698,494
795,547
892,600
989,653
1086,706
1183,759
1280,812
1377,865
1474,918
1571,971
1668,1024
1765,1077
261,1130
358,1183
455,1236
552,1289
649,1342
746,1395
843,1448
940,1501
1037,1554
1134,1607
1231,1660
1328,1713
1425,1766
1522,218
1619,271
1716,324
212,377
309,430
406,483
503,536
600,589
697,642
794,695
891,748
988,801
1085,854
1182,907
1279,960
1376,1013
1473,1066
1570,1119
1667,1172
1764,1225
260,1278
357,1331
454,1384
551,1437
648,1490
745,1543
842,1596
939,1649
1036,1702
1133,1755
1230,207
1327,260
1424,313
1521,366
1618,419
1715,472
211,525
308,578
405,631
502,684
599,737
696,790
793,843
890,896
987,949
1084,1002
1181,1055
1278,1108
1375,1161
1472,1214
1569,1267
1666,1320
1763,1373
259,1426
356,1479
453,1532
550,1585
647,1638
744,1691
841,1744
938,1797
1035,249
1132,302
1229,355
1326,408
1423,461
1520,514
1617,567
1714,620
210,673
307,726
404,779
501,832
598,885
695,938
792,991
889,1044
986,1097
1083,1150
1180,1203
1277,1256
1374,1309
1471,1362
1568,1415
1665,1468
1762,1521
258,1574
355,1627
452,1680
549,1733
646,1786
743,238
840,291
937,344
1034,397
1131,450
1228,503
1325,556
1422,609
1519,662
1616,715
1713,768
209,821
306,874
403,927
500,980
597,1033
694,1086
791,1139
888,1192
985,1245
1082,1298
1179,1351
1276,1404
1373,1457
1470,1510
1567,1563
1664,1616
1761,1669
257,1722
354,1775
451,227
548,280
645,333
742,386
839,439
936,492
1033,545
1130,598
1227,651
1324,704
1421,757
1518,810
1615,863
1712,916
208,969
305,1022
402,1075
499,1128
596,1181
693,1234
790,1287
887,1340
984,1393
1081,1446
1178,1499
1275,1552
1372,1605
1469,1658
1566,1711
1663,1764
1760,216
256,269
353,322
450,375
547,428
644,481
741,534
838,587
935,640
1032,693
1129,746
1226,799
1323,852
1420,905
1517,958
1614,1011
1711,1064
207,1117
304,1170
401,1223
498,1276
595,1329
692,1382
789,1435
886,1488
983,1541
1080,1594
1177,1647
1274,1700
1371,1753
1468,205
1565,258
1662,311
1759,364
255,417
352,470
449,523
546,576
643,629
740,682
837,735
934,788
1031,841
1128,894
1225,947
1322,1000
1419,1053
1516,1106
1613,1159
1710,1212
206,1265
303,1318
400,1371
497,1424
594,1477
691,1530
788,1583
885,1636
982,1689
1079,1742
1176,1795
1273,247
1370,300
1467,353
1564,406
1661,459
1758,512
254,565
351,618
448,671
545,724
642,777
739,830
836,883
933,936
1030,989
1127,1042
1224,1095
1321,1148
1418,1201
1515,1254
1612,1307
1709,1360
205,1413
302,1466
399,1519
496,1572
593,1625
690,1678
787,1731
884,1784
981,236
1078,289
1175,342
1272,395
1369,448
1466,501
1563,554
1660,607
1757,660
253,713
350,766
447,819
544,872
641,925
738,978
835,1031
932,1084
1029,1137
1126,1190
1223,1243
1320,1296
1417,1349
1514,1402
1611,1455
1708,1508
204,1561
301,1614
398,1667
0,400
2000,600
800,0
1200,2000
50,1900
1950,50
